Record Date,Country - Currency Description,Exchange Rate,Effective Date
12/31/23,Peru-Sol,3.675,12/31/23
12/31/23,Philippines-Peso,55.451,12/31/23
12/31/23,Poland-Zloty,3.924,12/31/23
12/31/23,Qatar-Riyal,3.645,12/31/23
12/31/23,Rep. of N. Macedonia-Denar,55.45,12/31/23
12/31/23,Romania-New Leu,4.499,12/31/23
12/31/23,Russia-Ruble,89.067,12/31/23
12/31/23,Rwanda-Franc,1250,12/31/23
12/31/23,Sao Tome & Principe-New Dobras,22.142,12/31/23
12/31/23,Saudi Arabia-Riyal,3.75,12/31/23
12/31/23,Senegal-CFA Franc,589,12/31/23
12/31/23,Serbia-Dinar,105.92,12/31/23
12/31/23,Seychelles-Rupee,13.473,12/31/23
12/31/23,Sierra Leone-Leone,22.7,12/31/23
12/31/23,Sierra Leone-Old Leone,21.4,12/31/23
12/31/23,Singapore-Dollar,1.32,12/31/23
12/31/23,Solomon Islands-Dollar,8.065,12/31/23
12/31/23,Somali-Shilling,568,12/31/23
12/31/23,South Africa-Rand,18.427,12/31/23
12/31/23,South Sudan-Sudanese Pound,1070,12/31/23
12/31/23,Sri Lanka-Rupee,323.8,12/31/23
12/31/23,St. Lucia-E. Caribbean Dollar,2.7,12/31/23
12/31/23,Sudan-Pound,830,12/31/23
12/31/23,Suriname-Dollar,36.723,12/31/23
12/31/23,Sweden-Krona,10.031,12/31/23
12/31/23,Switzerland-Franc,0.838,12/31/23
12/31/23,Syria-Pound,8585,12/31/23
12/31/23,Taiwan-Dollar,30.641,12/31/23
12/31/23,Tajikistan-Somoni,10.93,12/31/23
12/31/23,Tanzania-Shilling,2505,12/31/23
12/31/23,Thailand-Baht,34.33,12/31/23
12/31/23,Timor-Leste-Dili,1,12/31/23
12/31/23,Togo-CFA Franc,589,12/31/23
12/31/23,Tonga-Pa'anga,2.26,12/31/23
12/31/23,Trinidad & Tobago-Dollar,6.749,12/31/23
12/31/23,Tunisia-Dinar,3.064,12/31/23
12/31/23,Turkey-New Lira,29.547,12/31/23
12/31/23,Turkmenistan-New Manat,3.491,12/31/23
12/31/23,Uganda-Shilling,3775,12/31/23
12/31/23,Ukraine-Hryvnia,38.089,12/31/23
12/31/23,United Arab Emirates-Dirham,3.673,12/31/23
12/31/23,United Kingdom-Pound,0.786,12/31/23
12/31/23,Uruguay-Peso,39.02,12/31/23
12/31/23,Uzbekistan-Som,12333.77,12/31/23
12/31/23,Vanuatu-Vatu,116,12/31/23
12/31/23,Venezuela-Bolivar Soberano,35.841,12/31/23
12/31/23,Venezuela-Fuerte (OLD),248832,12/31/23
12/31/23,Vietnam-Dong,24260,12/31/23
12/31/23,Western Samoa-Tala,2.653,12/31/23
12/31/23,Yemen-Rial,528,12/31/23
12/31/23,Zambia-New Kwacha,25.71,12/31/23
12/31/23,Zimbabwe-RTGS,5801.47,12/31/23
9/30/23,Argentina-Peso,820.62,12/15/23
9/30/23,Myanmar-Kyat,3318,12/15/23
9/30/23,Nigeria-Naira,898,12/15/23
9/30/23,Afghanistan-Afghani,69.39,11/30/23
9/30/23,Malawi-Kwacha,1700,11/15/23
9/30/23,Zambia-New Kwacha,23,11/15/23
9/30/23,Sudan-Pound,725,10/31/23
9/30/23,Afghanistan-Afghani,77.86,9/30/23
9/30/23,Albania-Lek,100.05,9/30/23
9/30/23,Algeria-Dinar,137.067,9/30/23
9/30/23,Angola-Kwanza,830,9/30/23
9/30/23,Antigua & Barbuda-E. Caribbean Dollar,2.7,9/30/23
9/30/23,Argentina-Peso,365.5,9/30/23
9/30/23,Armenia-Dram,390,9/30/23
9/30/23,Australia-Dollar,1.542,9/30/23
9/30/23,Azerbaijan-Manat,1.7,9/30/23
9/30/23,Bahamas-Dollar,1,9/30/23
9/30/23,Bahrain-Dinar,0.377,9/30/23
9/30/23,Bangladesh-Taka,110,9/30/23
9/30/23,Barbados-Dollar,2.02,9/30/23
9/30/23,Belarus-New Ruble,3.264,9/30/23
9/30/23,Belize-Dollar,2,9/30/23
9/30/23,Benin-CFA Franc,615,9/30/23
9/30/23,Bermuda-Dollar,1,9/30/23
9/30/23,Bolivia-Boliviano,6.86,9/30/23
9/30/23,Bosnia-Marka,1.846,9/30/23
9/30/23,Botswana-Pula,13.643,9/30/23
9/30/23,Brazil-Real,5.033,9/30/23
9/30/23,Brunei-Dollar,1.363,9/30/23
9/30/23,Bulgaria-Lev New,1.846,9/30/23
9/30/23,Burkina Faso-CFA Franc,615,9/30/23
9/30/23,Burundi-Franc,2841.65,9/30/23
9/30/23,Cambodia-Riel,4051,9/30/23
9/30/23,Cameroon-CFA Franc,618.94,9/30/23
9/30/23,Canada-Dollar,1.343,9/30/23
9/30/23,Cape Verde-Escudo,104.03,9/30/23
9/30/23,Cayman Islands-Dollar,0.82,9/30/23
9/30/23,Central African Rep.-CFA Franc,618.94,9/30/23
9/30/23,Chad-CFA Franc,618.94,9/30/23
9/30/23,Chile-Peso,902.65,9/30/23
9/30/23,China-Renminbi,7.301,9/30/23
9/30/23,Colombia-Peso,4074.2,9/30/23
9/30/23,Comoros-Franc,467.04,9/30/23
9/30/23,Congo-CFA Franc,618.94,9/30/23
9/30/23,Costa Rica-Colon,528.75,9/30/23
9/30/23,Cote D'ivoire-CFA Franc,615,9/30/23
9/30/23,Cuba-Chavito,1,9/30/23
9/30/23,Cuba-Peso,24,9/30/23
9/30/23,Czech Republic-Koruna,22.389,9/30/23
9/30/23,Dem. Rep. of Congo-Congolese Franc,2477,9/30/23
9/30/23,Denmark-Krone,7.038,9/30/23
9/30/23,Djibouti-Franc,177,9/30/23
9/30/23,Dominican Republic-Peso,56.58,9/30/23
9/30/23,Ecuador-Dolares,1,9/30/23
9/30/23,Egypt-Pound,30.85,9/30/23
9/30/23,El Salvador-Dollar,1,9/30/23
9/30/23,Equatorial Guinea-CFA Franc,618.94,9/30/23
9/30/23,Eritrea-Nakfa,15,9/30/23
9/30/23,Eswatini-Lilangeni,18.864,9/30/23
9/30/23,Ethiopia-Birr,55.222,9/30/23
9/30/23,Euro Zone-Euro,0.944,9/30/23
9/30/23,Fiji-Dollar,2.251,9/30/23
9/30/23,Gabon-CFA Franc,618.94,9/30/23
9/30/23,Gambia-Dalasi,61,9/30/23
9/30/23,Georgia-Lari,2.65,9/30/23
9/30/23,Ghana-Cedi,11.57,9/30/23
9/30/23,Grenada-E.Caribbean Dollar,2.7,9/30/23
9/30/23,Guatemala-Quentzal,7.85,9/30/23
9/30/23,Guinea Bissau-CFA Franc,615,9/30/23
9/30/23,Guinea-Franc,8485,9/30/23
9/30/23,Guyana-Dollar,215,9/30/23
9/30/23,Haiti-Gourde,134.019,9/30/23
9/30/23,Honduras-Lempira,24.612,9/30/23
9/30/23,Hong Kong-Dollar,7.831,9/30/23
9/30/23,Hungary-Forint,367.93,9/30/23
9/30/23,Iceland-Krona,136.6,9/30/23
9/30/23,India-Rupee,83.071,9/30/23
9/30/23,Indonesia-Rupiah,15471.6,9/30/23
9/30/23,Iran-Rial,42000,9/30/23
9/30/23,Iraq-Dinar,1308.6,9/30/23
9/30/23,Israel-Shekel,3.822,9/30/23
9/30/23,Jamaica-Dollar,154,9/30/23
9/30/23,Japan-Yen,149.2,9/30/23
9/30/23,Jordan-Dinar,0.708,9/30/23
9/30/23,Kazakhstan-Tenge,477.55,9/30/23
9/30/23,Kenya-Shilling,148.2,9/30/23
9/30/23,Korea-Won,1344.07,9/30/23
9/30/23,Kuwait-Dinar,0.309,9/30/23
9/30/23,Kyrgyzstan-Som,88.71,9/30/23
9/30/23,Laos-Kip,20322,9/30/23
9/30/23,Lebanon-Pound,15000,9/30/23
9/30/23,Lesotho-Maloti,18.864,9/30/23
9/30/23,Liberia-Dollar,187,9/30/23
9/30/23,Libya-Dinar,4.877,9/30/23
9/30/23,Madagascar-Ariary,4468,9/30/23
9/30/23,Malawi-Kwacha,1115.72,9/30/23
9/30/23,Malaysia-Ringgit,4.694,9/30/23
9/30/23,Maldives-Rufiyaa,15.42,9/30/23
9/30/23,Mali-CFA Franc,615,9/30/23
9/30/23,Marshall Islands-U.S. Dollar,1,9/30/23
9/30/23,Mauritania-Ouguiya,38.15,9/30/23
9/30/23,Mauritius-Rupee,44.32,9/30/23
9/30/23,Mexico-Peso,17.471,9/30/23
9/30/23,Micronesia-U.S. Dollar,1,9/30/23
9/30/23,Moldova-LEU,18.15,9/30/23
9/30/23,Mongolia-Tugrik,3459.36,9/30/23
9/30/23,Morocco-Dirham,10.267,9/30/23
9/30/23,Mozambique-Metical,63.25,9/30/23
9/30/23,Myanmar-Kyat,2930,9/30/23
9/30/23,Nambia-Dollar,18.864,9/30/23
9/30/23,Nepal-Rupee,132.9,9/30/23
9/30/23,Netherlands Antilles-Guilder,1.78,9/30/23
9/30/23,New Zealand-Dollar,1.658,9/30/23
9/30/23,Nicaragua-Cordoba,36.5,9/30/23
9/30/23,Niger-CFA Franc,615,9/30/23
9/30/23,Nigeria-Naira,777.6,9/30/23
9/30/23,Norway-Krone,10.623,9/30/23
9/30/23,Oman-Rial,0.385,9/30/23
9/30/23,Pakistan-Rupee,288.3,9/30/23
9/30/23,Palau-Dollar,1,9/30/23
9/30/23,Panama-Dolares,1,9/30/23
9/30/23,Papua New Guinea-Kina,3.54,9/30/23
9/30/23,Paraguay-Guarani,7288.81,9/30/23
9/30/23,Peru-Sol,3.772,9/30/23
9/30/23,Philippines-Peso,56.615,9/30/23
9/30/23,Poland-Zloty,4.368,9/30/23
9/30/23,Qatar-Riyal,3.645,9/30/23
9/30/23,Rep. of N. Macedonia-Denar,57.82,9/30/23
9/30/23,Romania-New Leu,4.691,9/30/23
9/30/23,Russia-Ruble,97.675,9/30/23
9/30/23,Rwanda-Franc,1200,9/30/23
9/30/23,Sao Tome & Principe-New Dobras,23.103,9/30/23
9/30/23,Saudi Arabia-Riyal,3.75,9/30/23
9/30/23,Senegal-CFA Franc,615,9/30/23
9/30/23,Serbia-Dinar,110.45,9/30/23
9/30/23,Seychelles-Rupee,13.62,9/30/23
9/30/23,Sierra Leone-Leone,22.35,9/30/23
9/30/23,Sierra Leone-Old Leone,21.4,9/30/23
9/30/23,Singapore-Dollar,1.363,9/30/23
9/30/23,Solomon Islands-Dollar,8.13,9/30/23
9/30/23,Somali-Shilling,568,9/30/23
9/30/23,South Africa-Rand,18.864,9/30/23
9/30/23,South Sudan-Sudanese Pound,1013,9/30/23
9/30/23,Sri Lanka-Rupee,323.75,9/30/23
9/30/23,St. Lucia-E. Caribbean Dollar,2.7,9/30/23
9/30/23,Sudan-Pound,635,9/30/23
9/30/23,Suriname-Dollar,38.022,9/30/23
9/30/23,Sweden-Krona,10.881,9/30/23
9/30/23,Switzerland-Franc,0.913,9/30/23
9/30/23,Syria-Pound,8585,9/30/23
9/30/23,Taiwan-Dollar,32.165,9/30/23
9/30/23,Tajikistan-Somoni,10.97,9/30/23
9/30/23,Tanzania-Shilling,2500,9/30/23
9/30/23,Thailand-Baht,36.5,9/30/23
9/30/23,Timor-Leste-Dili,1,9/30/23
9/30/23,Togo-CFA Franc,615,9/30/23
9/30/23,Tonga-Pa'anga,2.315,9/30/23
9/30/23,Trinidad & Tobago-Dollar,6.747,9/30/23
9/30/23,Tunisia-Dinar,3.166,9/30/23
9/30/23,Turkey-New Lira,27.427,9/30/23
9/30/23,Turkmenistan-New Manat,3.491,9/30/23
9/30/23,Uganda-Shilling,3750,9/30/23
9/30/23,Ukraine-Hryvnia,36.929,9/30/23
9/30/23,United Arab Emirates-Dirham,3.673,9/30/23
9/30/23,United Kingdom-Pound,0.816,9/30/23
9/30/23,Uruguay-Peso,38.45,9/30/23
9/30/23,Uzbekistan-Som,12175.72,9/30/23
9/30/23,Vanuatu-Vatu,119.88,9/30/23
9/30/23,Venezuela-Bolivar Soberano,34.215,9/30/23
9/30/23,Venezuela-Fuerte (OLD),248832,9/30/23
9/30/23,Vietnam-Dong,24280,9/30/23
9/30/23,Western Samoa-Tala,2.682,9/30/23
9/30/23,Yemen-Rial,528,9/30/23
9/30/23,Zambia-New Kwacha,20.9,9/30/23
9/30/23,Zimbabwe-RTGS,5466.75,9/30/23
6/30/23,Chile-Peso,887.6,9/15/23
6/30/23,Argentina-Peso,365.5,8/15/23
6/30/23,Belarus-New Ruble,3.265,8/15/23
